bin,lens_bin,source_bin,radial_bin,r,value,error
140,2,1,5,0.063,4.245515435470026,0.08673006682318152
141,2,1,6,0.1,3.2660816733634412,0.07585696114285838
142,2,1,7,0.158,2.482468500523294,0.06766242551693849
143,2,1,8,0.251,1.7894039961072972,0.06317320554154171
144,2,1,9,0.397,1.2255499638026857,0.06299120298626856
145,2,1,10,0.629,0.7609037530023954,0.061514823670528615
146,2,1,11,0.998,0.458876026734667,0.07054505858915408
147,2,1,12,1.581,0.2563378278223061,0.09184991366576715
148,2,1,13,2.506,0.12673996121967956,0.1251963478831607
149,2,1,14,3.972,0.13980021951871535,0.1641047015869967
150,2,2,0,0.006,6.358671473520139,0.23475216395740556
151,2,2,1,0.01,4.013657125559189,0.15051081314926198
152,2,2,2,0.016,2.729054426544919,0.1093031359403857
153,2,2,3,0.025,1.8853479627963354,0.08722625420195823
154,2,2,4,0.04,1.2978607496695993,0.0767980930071548
155,2,2,5,0.063,0.9808330850921587,0.07254840221658457
156,2,2,6,0.1,0.7538356393069545,0.05877519910592228
157,2,2,7,0.158,0.5896174751741201,0.05656109408119264
158,2,2,8,0.251,0.4398026896603513,0.05501405843467444
159,2,2,9,0.397,0.3052062688349899,0.05273807048803798
160,2,2,10,0.629,0.1800443359694981,0.05601583580122649
161,2,2,11,0.998,0.13087374548252928,0.06795943595513575
162,2,2,12,1.581,0.10586048592378106,0.08958259140178354
163,2,2,13,2.506,0.07796043487546811,0.12337209609833491
164,2,2,14,3.972,0.11894880650096251,0.1629151483310612
165,2,3,0,0.006,6.299340367633821,0.2312130761379694
166,2,3,1,0.01,4.28579821921915,0.14853107859331785
167,2,3,2,0.016,2.8397721146648847,0.09692173965013266
168,2,3,3,0.025,1.8929240860517726,0.08583884417941957
169,2,3,4,0.04,1.2122772823008,0.06291329123321308
170,2,3,5,0.063,0.8922169748631026,0.05617850536836357
171,2,3,6,0.1,0.7043441245171866,0.04948154236059969
172,2,3,7,0.158,0.5243777602630173,0.046861362934505504
173,2,3,8,0.251,0.41002308425845957,0.0443636027568428
174,2,3,9,0.397,0.3055789850113344,0.042861849035980795
175,2,3,10,0.629,0.1974933507891352,0.047317693002458965
176,2,3,11,0.998,0.14395385965786378,0.06397095681110318
177,2,3,12,1.581,0.12681487176504636,0.08787479077272353
178,2,3,13,2.506,0.10060628357986268,0.1224404620592953
179,2,3,14,3.972,0.12351735239644057,0.1629123200455315
180,3,0,0,0.006,19.60993985814259,0.3725116713724989
181,3,0,1,0.01,11.931102279695471,0.16806728171414512
182,3,0,2,0.016,7.572175168940998,0.12304510871175178
183,3,0,3,0.025,4.891861485426485,0.09624230062540892
184,3,0,4,0.04,3.3281855885312517,0.0852640716068937
185,3,0,5,0.063,2.5241094442683742,0.0773082301904317
186,3,0,6,0.1,1.9548877671397458,0.06892567410554498
187,3,0,7,0.158,1.4169196428874153,0.06337731403299648
188,3,0,8,0.251,0.9588741469041873,0.060674274567901434
189,3,0,9,0.397,0.5852062333832064,0.05852523905380583
190,3,0,10,0.629,0.3064582613006017,0.0585264772128069
191,3,0,11,0.998,0.09041869717663076,0.059914045041925636
192,3,0,12,1.581,-0.008166941430631791,0.06231233320669598
193,3,0,13,2.506,-0.008540395956013747,0.07554354694612883
194,3,0,14,3.972,0.06993747280878981,0.09181154541183051
195,3,1,0,0.006,37.863281342309605,0.4315071451238618
